,HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,bv,e_BV,VI,hip2_oid,ic,UW
45,HIP_35904,7,0,1,1.937730353,0.24,-0.511435919,0.35,1.65,0.4,-4.15,0.29,5.81,0.42,169,32.77,0,0.0,2.4215,0.0021,0.03,2,-0.083,0.01,0.01,35799,404,"14.36,-1.69,11.09,-0.91,-0.44,8.28,-1.49,-0.47,-1.89,12.30,-0.19,-0.29,0.34,-1.72,8.11"
46,HIP_36188,5,0,1,1.951065192,0.18,0.144677477,0.12,20.16,0.2,-51.76,0.21,-38.28,0.14,74,0.81,0,0.0,2.8546,0.0004,0.005,0,-0.097,0.008,-0.07,36080,0,"6.70,3.17,9.59,-1.12,1.09,5.45,2.08,0.91,0.43,5.45,2.28,3.07,-0.35,2.87,7.84"
47,HIP_36377,75,4,1,1.960141338,0.4,-0.755760569,0.41,16.83,0.48,-59.56,0.42,188.29,0.51,132,37.63,0,0.0,3.3757,0.0017,0.014,1,1.509,0.004,1.54,36267,0,"10.60,-0.10,10.21,-1.41,-0.41,8.61,1.15,0.38,-0.33,9.93,0.35,0.47,-0.02,0.13,8.02"
48,HIP_36850,15,3,2,1.983567039,3.3,0.556561678,2.63,64.03,3.74,-191.5,3.95,-145.25,2.95,68,94.93,0,0.0,1.5811,0.0009,0.005,0,0.034,0.002,0.05,36737,0,"5.34,0.44,7.03,-0.23,1.45,4.62,0.74,0.85,0.38,4.36,1.18,1.10,-0.63,0.73,5.80"
49,HIP_37279,75,4,1,2.004113444,0.98,0.091237219,0.55,284.52,1.27,-714.56,2.07,-1036.82,1.15,53,23.89,1,0.0,0.4607,0.0017,0.007,0,0.432,0.015,0.49,37166,0,"5.71,6.42,8.04,-0.80,-0.31,4.16,0.86,0.42,1.83,4.01,1.56,1.37,0.75,6.14,3.71"
50,HIP_37819,5,0,1,2.03005819,0.14,-0.66267706,0.16,2.88,0.19,-10.19,0.18,6.33,0.21,110,2.65,0,0.0,3.72,0.0013,0.01,2,1.706,0.071,1.82,37704,0,"8.82,0.29,7.65,-0.74,1.48,6.33,2.23,0.31,1.46,6.74,0.34,0.97,0.37,0.93,5.61"
51,HIP_37826,5,0,1,2.030353438,0.22,0.489151391,0.13,96.52,0.24,-626.55,0.26,-45.83,0.16,104,8.32,2,0.0,1.2947,0.0006,0.005,0,0.991,0.005,0.97,37711,0,"7.95,2.67,13.70,-0.83,0.83,7.02,1.02,0.24,1.04,6.27,0.75,3.86,1.61,0.38,10.47"
52,HIP_38170,5,0,1,2.047682729,0.1,-0.433885084,0.13,2.7,0.21,-4.81,0.12,-0.9,0.15,165,1.74,1,0.0,3.5109,0.0011,0.009,2,1.218,0.004,1.08,38055,0,"12.07,0.85,8.68,-0.81,0.05,5.30,-2.77,-0.40,-0.34,9.67,-0.48,1.73,-1.57,1.74,7.22"
53,HIP_39429,5,0,1,2.110035446,0.08,-0.698187348,0.08,3.0,0.1,-29.71,0.08,16.68,0.09,138,-1.23,4,0.0,2.1364,0.001,0.007,0,-0.269,0.018,-0.22,39307,0,"12.45,0.50,11.56,-0.41,-1.71,9.46,2.37,-0.65,-1.81,11.78,-0.51,2.75,-1.26,2.23,10.18"
54,HIP_39757,5,0,1,2.127316533,0.06,-0.424192445,0.07,51.34,0.15,-83.35,0.06,46.22,0.07,318,-0.49,2,0.0,2.9157,0.0038,0.04,1,0.458,0.003,0.42,39633,0,"17.63,-3.20,15.66,0.29,-0.63,6.70,-1.66,-7.18,3.32,16.18,-6.08,4.48,1.19,-4.37,14.87"
55,HIP_39953,7,0,1,2.135988869,0.27,-0.826179731,0.26,2.99,0.32,-6.16,0.32,10.3,0.34,102,19.66,0,0.0,1.7034,0.0016,0.012,2,-0.145,0.008,-0.14,39829,459,"10.46,0.04,10.84,-0.75,-1.60,8.82,1.31,1.55,-1.26,9.44,1.61,1.99,-2.49,0.17,9.27"
56,HIP_43813,5,0,1,2.336100283,0.15,0.103769036,0.1,19.49,0.18,-100.05,0.21,15.46,0.11,62,-2.08,0,0.0,3.2803,0.0005,0.003,0,0.978,0.049,0.96,43677,0,"6.03,2.32,9.09,-1.28,1.42,4.79,-0.70,-1.30,1.73,3.92,-2.23,-1.42,0.61,0.70,7.10"
57,HIP_44816,5,0,1,2.39108487,0.08,-0.758042288,0.09,5.99,0.11,-24.02,0.1,13.51,0.09,129,-1.18,2,0.0,2.3385,0.0036,0.025,2,1.665,0.013,1.69,44676,0,"11.27,-1.30,10.98,-0.43,-0.76,8.51,0.06,-0.86,-0.41,9.42,-0.85,3.49,0.00,-1.71,10.40"
